Year,KM,Fuel,Transmission,Feature,EMI_per_month,Price,Location
2017 Ford Ecosport TREND 1.5L PETROL,"27,102 km",Petrol,Manual,100% Tyre Life,"EMIs from ₹11,476/month",₹5.87 Lakh,Mumbai
2015 Ford Ecosport TITANIUM 1.5L PETROL,"45,779 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹8,348/month",₹4.27 Lakh,Mumbai
2017 Ford Ecosport TITANIUM + 1.5L DIESEL,"79,659 km",Diesel,Manual,Reg. Serviced,"EMIs from ₹12,747/month",₹6.52 Lakh,Mumbai
2018 Ford FREESTYLE TREND 1.2 PETROL,"33,314 km",Petrol,Manual,Alloy Wheels,"EMIs from ₹9,013/month",₹4.61 Lakh,Mumbai
2015 Ford Ecosport TITANIUM 1.5L PETROL AT,"43,187 km",Petrol,Automatic,Spl. Reg. No.,"EMIs from ₹10,010/month",₹5.12 Lakh,Mumbai
2019 Ford Ecosport TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF),"30,825 km",Petrol,Manual,Sunroof,"EMIs from ₹14,975/month",₹7.66 Lakh,Mumbai
2018 Ford Ecosport TREND 1.5L DIESEL,"87,593 km",Diesel,Manual,Reg. Serviced,"EMIs from ₹13,451/month",₹6.88 Lakh,Mumbai
2016 Ford Ecosport TITANIUM 1.5L PETROL,"56,500 km",Petrol,Manual,Top Model,"EMIs from ₹9,716/month",₹4.97 Lakh,Mumbai
2018 Ford FREESTYLE TITANIUM 1.2 PETROL,"29,090 km",Petrol,Manual,Safety Specs.,"EMIs from ₹9,443/month",₹4.83 Lakh,Mumbai
2017 Ford Ecosport TREND 1.5L DIESEL,"38,957 km",Diesel,Manual,Reg. Serviced,"EMIs from ₹13,177/month",₹6.74 Lakh,Mumbai
2020 Ford Ecosport TITANIUM + 1.5L DIESEL,"65,037 km",Diesel,Manual,Top Model,"EMIs from ₹17,150/month",₹9.01 Lakh,Mumbai
2017 Ford Ecosport TREND 1.5L DIESEL,"55,356 km",Diesel,Manual,Reg. Serviced,"EMIs from ₹11,359/month",₹5.81 Lakh,Mumbai
2016 Ford Ecosport TITANIUM 1.5L PETROL AT,"41,949 km",Petrol,Automatic,Top Model,"EMIs from ₹11,691/month",₹5.98 Lakh,Mumbai
2019 Ford Ecosport TITANIUM 1.5L DIESEL,"68,051 km",Diesel,Manual,Top Model,"EMIs from ₹16,283/month",₹7.32 Lakh,New Delhi
2016 Ford Ecosport TITANIUM+ 1.0L ECOBOOST,"29,475 km",Petrol,Manual,Top Model,"EMIs from ₹12,043/month",₹6.16 Lakh,New Delhi
2017 Ford Ecosport AMBIENTE 1.5L PETROL,"55,162 km",Petrol,Manual,Good Clearance,"EMIs from ₹9,521/month",₹4.87 Lakh,New Delhi
2018 Ford Ecosport TITANIUM 1.5L PETROL,"99,291 km",Petrol,Manual,Top Model,"EMIs from ₹11,527/month",₹5.90 Lakh,New Delhi
2020 Ford Ecosport TITANIUM 1.5L THUNDER EDTION DIESEL,"71,807 km",Diesel,Manual,Top Model,"EMIs from ₹15,361/month",₹8.07 Lakh,New Delhi
2019 Ford Ecosport AMBIENTE 1.5L PETROL,"35,014 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹12,786/month",₹6.54 Lakh,New Delhi
2018 Ford Ecosport TITANIUM + 1.5L DIESEL,"92,633 km",Diesel,Manual,Top Model,"EMIs from ₹14,510/month",₹5.51 Lakh,New Delhi
2019 Ford Ecosport TITANIUM + 1.5L PETROL AT,"58,384 km",Petrol,Automatic,Top Model,"EMIs from ₹15,054/month",₹7.70 Lakh,New Delhi
2018 Ford Ecosport TITANIUM + 1.5L DIESEL,"96,027 km",Diesel,Manual,Top Model,"EMIs from ₹16,274/month",₹6.18 Lakh,New Delhi
2018 Ford Ecosport TREND + 1.5L PETROL AT,"75,985 km",Petrol,Automatic,Reg. Serviced,"EMIs from ₹12,923/month",₹6.61 Lakh,New Delhi
2018 Ford Ecosport TITANIUM + 1.5L PETROL AT,"50,402 km",Petrol,Automatic,Top Model,"EMIs from ₹14,408/month",₹7.37 Lakh,New Delhi
2018 Ford Ecosport TREND + 1.5L PETROL AT,"59,781 km",Petrol,Automatic,Reg. Serviced,"EMIs from ₹13,443/month",₹6.88 Lakh,New Delhi
2017 Ford Ecosport TREND 1.5L PETROL,"43,277 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹11,671/month",₹5.97 Lakh,New Delhi
2017 Ford Ecosport TITANIUM + 1.5L PETROL AT,"67,602 km",Petrol,Automatic,Reg. Serviced,"EMIs from ₹12,258/month",₹6.27 Lakh,New Delhi
2020 Ford Ecosport TITANIUM 1.5 SPORTS(SUNROOF) PETROL,"50,309 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹16,407/month",₹8.62 Lakh,New Delhi
2020 Ford Ecosport TITANIUM 1.5L DIESEL,"62,541 km",Diesel,Manual,Top Model,"EMIs from ₹15,722/month",₹8.26 Lakh,New Delhi
2019 Ford Ecosport TITANIUM 1.5L DIESEL,"27,603 km",Diesel,Manual,Top Model,"EMIs from ₹15,215/month",₹6.84 Lakh,New Delhi
2017 Ford Ecosport TREND + 1.5L PETROL,"55,052 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹9,736/month",₹4.98 Lakh,New Delhi
2019 Ford Ecosport TITANIUM 1.5L DIESEL,"71,456 km",Diesel,Manual,Top Model,"EMIs from ₹15,794/month",₹7.10 Lakh,New Delhi
2017 Ford Ecosport AMBIENTE 1.5L PETROL,"25,973 km",Petrol,Manual,Reg. Serviced,"EMIs from ₹10,440/month",₹5.34 Lakh,New Delhi
